row_id,conversation_id,customer_message,spotify_reply,predicted_intent,is_dm_deflection,true_intent,escalation_decision,escalation_reason,labelling_notes
37,648674,"I payed for the 3 months subscribtion and i didn't recieve it.It said that i have already done one in the past but it took money of my bank account anyway,please help i dont know what to do.I restared the app and logged in and out what should i do?",@274168 We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,SUB_BILLING,True,,,,
38,2322400,"I'm pretty sad that the new album of @118062 is not available for Streaming on @115888 @115948 or @GooglePlayMusic 
😑","@672948 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /NH",PLAYBACK_ISSUE,False,,,,
39,2378268,https://t.co/Xo8xYuExR9,@685878 Thanks. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 🔍 /JS,GENERAL_ENQUIRY,False,,,,
40,2439878,when should we be able to stream it?,"@699794 We're afraid we don't have this info, but we’ll have it available to you as soon as it’s available to us! /GS",PLAYBACK_ISSUE,False,,,,
41,1790162,"I just dumped the whole thing. I'd expect its your job to figure this out, isn't it. 
I'd expect some auto-updater left over garbage coupled with audio cache. But who knows",@537736 Hmm. Can you fire over the Windows and Spotify version you're currently using? We'll see what we can suggest /KB,APP_TECHNICAL,False,,,,
42,2259657,My dad can’t log into his Spotify account. Help! @SpotifyCares,@657987 Hey there! Can you DM us his account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,ACCOUNT_ACCESS,True,,,,
43,2789426,"I can’t seem to get on your website using iOS. Keep getting 504 gateway timeout. I’ve tried rebooting, clearing cookies thanks","@778603 Hi Kathryn! Can you let us know the make and model of your device, along with the iOS and Spotify versions you're using? We'll see what we can suggest /MC",APP_TECHNICAL,False,,,,
44,2066814,can you please check the status of my payment. DM please. thanks!,"@611184 Hey Kenjie, help's here! Could you DM us your account's username/email address? We'll check backstage /RE https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
45,1485476,I was able to fix it. Just deleted app and downloaded it again. Thank you anyways,"@464962 Alright, cool! We're glad your app's working fine now. If you ever need us, we're just a tweet away 🙂 /RH",PLAYBACK_ISSUE,False,,,,
46,2784991,I’M FREAKING DESPERATE PLEASE GIVE A SPOTIFY PREMIUM ACCOUNT FOR FREE I’M BEGGING YOU,"@777598 Hi there! We're afraid that this isn't possible. If you haven't had Premium before, we'd recommend checking out https://t.co/Gp5xcUoTsa. Hope this helps /AK",SUB_BILLING,False,,,,
47,1358443,"Yeah, I know. Didn't find it fast enough.","@436711 Let us know if there's anything else we can help you with, we're just a tweet away /JP",GENERAL_ENQUIRY,False,,,,
48,1756659,"Excuse me @SpotifyCares , since when do i need premium just to use shuffle play, it's been doing this ever since i cancelled my membership. https://t.co/Idqq8mYXw1","@528938 Hey Spooky! Does logging out, restarting your device, and logging back in help at all? Keep us posted /TF",SUB_BILLING,False,,,,
49,2910923,I have a question about the Family Premium Memberships,"@436847 Hey Russ, help's arrived! What would you like to know about our Premium for Family plan? On another note, you can find out more about Premium for Family over here: https://t.co/LESfq9LesY. Let us know if you need anything /JQ",SUB_BILLING,False,,,,
50,1873226,I've got download using cellular data off. However it still downloads music using my data. Please help.,"@559320 Hi! Help's here. Can you DM us your account's username or email address, along with your device, operating system, and app version? /MU https://t.co/ldFdZRiNAt",PLAYBACK_ISSUE,True,,,,
51,2547439,"Hey guys, the Android app is being a bit slow lately. Starting a track takes quite a while often.","@410469 Hey Timo, help's here! Could you let us know your device's model and Spotify version? We'll see what we can suggest /GU",APP_TECHNICAL,False,,,,
52,171113,No it doesn't. Have also already performed clean install of spotify.,@155917 Thanks for trying that out. Is this also happening on any other devices? Could you check that out for us? /JP,APP_TECHNICAL,False,,,,
53,648668,"hi, I'm on the previous iOS to the latest. Just updated Spotify and now it won't open. Have restarted the phone and app with no luck. Is this a bug? Best to update to latest iOS?","@274167 Hey, that's not cool! Just to check, did the issue start happening since you've updated your iOS and Spotify app versions? Also, are you getting any specific error messages? Any screenshots would be a great help /JM",APP_TECHNICAL,False,,,,
54,2853057,Hi @SpotifyCares Having issues with albums that have been downloaded to listen offline. On numerous occasions now ALL my downloaded albums have been removed. All downloaded playlists remain but not albums. This is V annoying as I listen on the go and have to re-download again,"@793166 Hey Ollie, this doesn't sound good! Could you send us a DM with your account's username or email address? We'll take a look backstage 🔍 /DB https://t.co/ldFdZRiNAt",PLAYBACK_ISSUE,True,,,,
55,2215914,"Imported my music from Groove, Successful on Windows 10 and phone. not successful on Xbox1. Tried to import directly on that platform without success. Uninstalled and reinstalled app without success. Please advise. I want to go premium, but Xbox is primary platform.",@647439 Hey Keith! Can you DM us your account's email address and a screenshot of your log in credentials on your Xbox? We'll have a look /KT https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
56,1825847,"Hey, why is 'If that ain't country' by David Allen Coe removed? Is it because you're too PC and some snowflake complained about it?",@548065 Hey! Sometimes content gets removed because of licensing or other legal issues. Hopefully we'll have it available again soon /NQ,CONTENT_LIBRARY,False,,,,
57,2183003,I have a problem with my account. I can’t add anybody to my family plan,@639461 We've just replied to you over DM. We'll carry on helping out there 🙂 /JM,SUB_BILLING,True,,,,
58,64397,I'm having issues syncing my devices. It's often taking hours before changes are synced across from my desktop app to iOS.,"@130782 Hey Mark, help's here! Can you try reinstalling the app on both devices? Just follow the steps here: https://t.co/vNY2SFD0tR. Let us know how it goes /PL",APP_TECHNICAL,False,,,,
59,554126,Panic over. Removed &amp; reinstalled app. All sorted. 😅,@249294 Hey there! We're glad to hear that everything is sorted. Just give us a shout if you need help with anything else. We're just a tweet away /LM,APP_TECHNICAL,False,,,,
60,2076229,"hi, can someone please tell me why my offline music is undownloaded on a frequent basis?","@614045 Hey Ben, we understand how you might feel about it. Does this happen only to your downloaded albums or even to your playlists as well? /AY",PLAYBACK_ISSUE,False,,,,
61,377565,it says im offline on the desktop app but im connected to the wifi...and for the webplayer it’s stuck on an ad that wont play...,@205597 That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /VK,PLAYBACK_ISSUE,False,,,,
62,2627949,"Why does @115888 keep logging me out on Android and when I try to log back in it says that I am offline and please go online to log in or something along those lines, so I have to uninstall Spotify and start again? @SpotifyCares","@156655 Hey Quatie! Can you tell us what device and operating system, as well as the version of Spotify you're using, is? Keep us posted /TF",ACCOUNT_ACCESS,False,,,,
63,429247,"hello @115888, isn't today a good day to finally update your 'kpop daebak' playlist?",@217077 Hi there! We can’t make any promises but we’ll pass your feedback onto the right folks. Stay tuned 🙂 /AC,APP_TECHNICAL,False,,,,
64,1816446,"Hi, I like spotify, how do I see how many streams I have on my posted music?  Thanks.","@545657 Hey! We'd love to help. You can request access at https://t.co/UxMXp18leB. Once accepted, you'll be able to view your stats, &amp; more 🙂 /M",PLAYBACK_ISSUE,False,,,,
65,1509466,Either my @115888 is messed up or it acts like YouTube now. I HAVE to be in the app to play and it has to be unlocked to play...SERIOUSLY?,"@470367 Hi there. Can you let us know what device, OS, and Spotify version you're running? We'll see what we can suggest /LM",ACCOUNT_ACCESS,False,,,,
66,1652578,Help! My account has been hacked I think! Can’t login and got email from you saying I’d changed my email address! I didn’t!,"@504557 Hey, help's here! Can you DM us your account's email address? We'll check backstage /GK https://t.co/ldFdZRiNAt",ACCOUNT_ACCESS,True,,,,
67,2298245,I want to get a free trial of premium but it automatically unsubscribed me every time!! Can you help me please? https://t.co/L4XaH0QtXc,@667134 Hi there! Could you send us a DM with your account's email address? We'll take a look backstage /DR https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
68,2977892,"I keep trying to update my new card info but it keeps taking me to the “student discount” page, so I can’t update it. What gives?","@821290 Hey Evan, help's here! Can you DM us your account's email address? We'll see what we can suggest /SJ",SUB_BILLING,True,,,,
69,1665966,Hi! Spotify keeps skipping when connected to my car’s Bluetooth. Prius Prime/iPhone 7/iOS 11.1. Spotify update from 10/31.,"@507559 Hey! Could you DM us your account's email address? We'll see what we can suggest, don't worry 🙂 /M https://t.co/ldFdZRiNAt",APP_TECHNICAL,True,,,,
70,2590876,Hi there! I can’t create a custom username in my account upon signing up in your website. Help!!,@733827 Hey there! Could you DM us your email address? We'll take a look backstage /Q https://t.co/ldFdZRiNAt,ACCOUNT_ACCESS,True,,,,
71,1816225,I was charged 3 times for premium this evening! Can you please fix that asap.,@545592 Hey Patience! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
72,2807542,how come Neil Young's Dead Man OST is not available? Is it a licensing issue or do you just wait for one of us to ask?,"@782995 Hey! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /NQ",CONTENT_LIBRARY,False,,,,
73,1972335,hey I have a premium subscription but it says it's not showing up and asking me to subscribe it's very frustrating pls help,@432694 Hey Mimi! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
74,598526,I am a student my Unidays currently doesn't recognise my college as a valid institution. I have a student card and access to student beans. Is there any other way to get student discount with Spotify? Otherwise switching to iTunes!,"@261924 Hi Laura, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
75,2307504,Hey @115888 have you ever considered not playing really loud ads in the middle of the sleep playlist? Kind of counter-productive,"@669375 Hey there, we didn't mean to startle you! Thanks for the feedback, we'll make sure it's passed on to our Ads team /NQ /NQ",PLAYBACK_ISSUE,False,,,,
76,2077241,I have spotify premium for over 3 years now. Why do I suddently lose all my downloaded songs? It has happenend for 3 times now,@614350 Hi there! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /SC,SUB_BILLING,False,,,,
77,2786606,how do I remove a song that keeps playing even though it's not in my song list? Example Lukas Nelson keeps playing and I'd never heard of him. I figured it was because I listen to some c&amp;w,"@777977 Hey Terry, help's here! Could you shoot over your account's username and email address so we can take a look backstage? We'll check it out 🔍 /VV",GENERAL_ENQUIRY,True,,,,
78,1840152,Get Nas &amp; Damian Marley's - Distant Relatives back @115888 @SpotifyCares,"@551489 Hi! Fingers crossed we'll be able to have it back soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AU",GENERAL_ENQUIRY,False,,,,
79,2783465,someone connected a device on my account and started listening to music while i was so they were in my account and i couldnt disconnect their device or sign out on all devices i changed my password and kept pausing it until the disconnected what could fix this problem,@777232 Hi Taylor! The cavalry's here. Can you DM us your account's email address or username? We'll check behind the scenes /PK https://t.co/ldFdZRiNAt,ACCOUNT_ACCESS,True,,,,
80,438212,Its strange I can't put any of her songs in a queue either. But I'm listening to metallica now just fine,@219115 Got it! Is this happening to all her songs? Can you send us a sample Song Link? Just tap the three dots &gt; Share &gt; Copy Link /JP,PLAYBACK_ISSUE,True,,,,
81,1977013,is there a way to check how many songs I have downloaded on my phone?,@585440 2: add your idea on our Community at https://t.co/rtDvYZOF32 for others to vote on. Let us know if we can help with anything else /LM,PLAYBACK_ISSUE,False,,,,
82,2442052,why is my discover weekly either songs I have removed from my saved list or song you keep trying to force down my throat every week.,"@700308 Hey Ryan! To keep Discover Weekly fresh, keep listening to more of your favourite tunes. This will mix things up /LO",CONTENT_LIBRARY,False,,,,
83,1542053,how can I remove the 3.3k song limit on downloads? What's the point of a 256GB phone with this limitation?,@477791 Hey! You can learn more about the song limit in Your Music here: https://t.co/8OOl8B2i69 /RB,PLAYBACK_ISSUE,False,,,,
84,2865493,hey I have a I'm under a family plan and I ended up paying for the month plan by acsident so we have payed 2x for the same account we just wondering if there's anything that can be done to help this situation,@795905 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
85,2239710,I have a playlist of almost 1000 songs and when I shuffle it there’s 4 albums that are shuffled and that’s all I get in the queue then it’s finished? @SpotifyCares,"@653042 Hey Alicia, that doesn't sound right. What device, operating system, and Spotify version are you using? We'll see what we can suggest /JE",PLAYBACK_ISSUE,False,,,,
86,2347885,Tried that. Also reinstalled. Seems to have gotten worse. 😕,"@678766 Hmm. Just to check, is it happening over 3G/4G, WiFi, or both? Keep us in the loop /GU",APP_TECHNICAL,False,,,,
87,497717,please put @22806 's Royalty on Spotify. Please and thanks,"@233785 Hey there! We’ve got some info about mixtapes here: https://t.co/GGCDZEXji9. If you ever need anything else, just shout and we'll come running 🏃 /JX",GENERAL_ENQUIRY,False,,,,
88,65988,can you explain why almost all Sinterklaas children's songs on your platform contain racist and/or degrading lyrics? How do I easily find non-offensive songs?,"@131097 Hi, help's here! Were you referring to the Behind the Lyrics feature? Can you also send us the Spotify URI of the songs? Just right-click the track &gt; Share &gt; URI. We'll check them out /DN",CONTENT_LIBRARY,False,,,,
89,228777,Every other day my account logs out &amp; can't log back in as I get an offline error? What's the point in having offline music? https://t.co/aFNfXNAd0M,@170563 Hey there! Could you send us your account's username or email address via DM? We'll take a look backstage /LP https://t.co/ldFdZRiNAt,ACCOUNT_ACCESS,True,,,,
90,1824564,Spotify won't play songs in my Chrome browser @spotifycares pls help,"@547718 Hey there, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /RV",PLAYBACK_ISSUE,False,,,,
91,1874715,"Hi, I was charged £9.99 for this months subscription, even though I've got a student account? I want to be refunded!","@126981 Hey John, help's here! Can you DM us your account's email address? We'll take a look under the hood /MV https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
92,1897047,"lol I had 6 daily mixes, and then my music stops playing mid song and I lost number 5 and 6 tf homie",@565407 Hi! Can you DM us your account's email address along with a screenshot of how your Daily Mix playlists are showing up? We'll take a look /RR https://t.co/ldFdZRiNAt,PLAYBACK_ISSUE,True,,,,
93,1225423,did divide get taken down from Spotify? It's  the only @118276 album that doesn't play,"@407492 Hi Jonathan! Just to check, are you getting any error messages when you try playing the album? A screenshot of it will be handy /NY",PLAYBACK_ISSUE,False,,,,
94,1883562,I cancelled my premium account in August and have still been charged the premium service. I haven't used it since I cancelled.,@562099 Hey Fern! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
95,852671,how can i discover the current playlist i'm listining? I started one of suggested playlists but i can't find his name,"@322561 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",CONTENT_LIBRARY,False,,,,
96,2580774,Hey @115888 please make @89341 Chixtape 4 available pretty please. Thank you 👍🏽,@731481 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,CONTENT_LIBRARY,True,,,,
97,1588407,my username is Jim Wang email __email__. Am premium. Can not access my account.,@488500 2: and tell us more about what's happening? We'll see what we can suggest /RA https://t.co/ldFdZRiNAt,SUB_BILLING,False,,,,
98,1457855,hey @115888 just wondering why isn't there a Download All Music option i don't have time for this i am depressed fix your goddamn app,"@458374 Hey there! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /DH",PLAYBACK_ISSUE,False,,,,
99,291851,My spotify playlist disappeared and It's not on the recover page.,@185504 Hi there! Can you fire over your account's username or email address? We'll take a look under the hood /JM,CONTENT_LIBRARY,False,,,,
100,2795566,I️ need my hulu account activated. Somehow it will not let me reactive/ login because it logged me out on its own.,@274513 Hey Jordan! Can you DM us your account's email address or username? We'll take a look backstage /AR https://t.co/ldFdZR1cbT,ACCOUNT_ACCESS,True,,,,
101,2861264,"Does anyone else the issue with @116130, where about once a month, your entire offline library gets randomly deleted from your phone?",@794890 Hey Stephen! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. Let us know how it goes /SJ,PLAYBACK_ISSUE,False,,,,
102,2681214,I'm trying to update my payment details as I have a new card but because I used to be a student it's asking for my old NUS card number in order to update them which I no longer have or use. I've been paying for premium for a while now.,"@754290 Hi James, help's here! Can you DM us your account's email address or username? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
103,800279,"Newest spotify v. Newest OS on Mac. Newest v. of chrome. Mostly links shared in FB music groups. Rather than open app, they open browser.",@310691 Thanks! Can you try clearing your browser's cache/cookies? Let us know if clicking a Spotify link asks you to open the app after that /QI,GENERAL_ENQUIRY,False,,,,
104,983067,days. How long can i have the error message before I lose my premium? (2/2),@353066 Hey there! Can you DM us your account's email address? We'll take a look under the hood /QI,SUB_BILLING,True,,,,
105,890179,why has The Game - Blood Moon: Year Of The Wolf album been removed? And any chance we can get Kano - 140 Grime St added? Thanks 😁,@331332 Hey Peter! That doesn't sound good. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,CONTENT_LIBRARY,True,,,,
106,1883556,I can't add family members to my family plan.  Getting an error 4. no matter what I do.,"@562097 Hey! Can you DM us the email addresses or usernames on your family members' accounts, as well as your own? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
107,43444,get on it https://t.co/QDIVxa4bDA,"@125635 Hi MJ! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /ME",GENERAL_ENQUIRY,False,,,,
108,2757624,John Lennon? https://t.co/rwLPgYPRMx,"@771730 Thanks. It appears that you're listening to John Lennon's remastered version of ""Mother Nature's Son"". Can you try this one instead: https://t.co/zhbLknJbe6? /MG",GENERAL_ENQUIRY,False,,,,
109,1170446,"iphone 7, ios 11.3 and app version 8.4.22.515, been happening ever since updating to ios11!","@395282 Thanks for the info. Just to check, have you tried reinstalling the app with the steps here : https://t.co/EqisDMwZAT? Did it help? /PB",APP_TECHNICAL,True,,,,
110,1944698,When will @115888 allow streaming to multiple devices simultaneously?,"@578102 Hi Lachlan! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /RE",PLAYBACK_ISSUE,False,,,,
111,2077690,How do I know which one is your accredited schools?,"@614477 2: If you're in the USA, you can also try manual verification at https://t.co/pttUWuZkWK. Send us a DM if you have any other questions /SC https://t.co/ldFdZRiNAt",GENERAL_ENQUIRY,True,,,,
112,2864068,"https://t.co/Wi8EW2faWE
The song is called ""Bit Part"" by The Lemonheads, not ""Big Part"". 
Also, Spotify's shuffle function is the worst.",@795552 Hey! Sorry to hear you feel that way. We'll get this reported. Great detective work. https://t.co/LpsmyUtme0 🔍 /JS,PLAYBACK_ISSUE,False,,,,
113,1403654,I usually use my phone. I also downloaded the song onto my Apple Music library and it sounds fine when I listen to it on there.,@446334 Got it! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link /DF,PLAYBACK_ISSUE,False,,,,
114,2809546,"Hi kind folks of Spotify. I've been a longstanding subscriber of your service, but I'm thinking of making the switch to Tidal due to lack of Hi-Fi streaming.  I'm hoping to get the most from my NAD amplifier and B&amp;W speakers.  Could you extend an Hi-Fi invite to me?","@783552 Hey Anthony! We don't have any info to share about Hi-Fi right now, but you can show your support for Lossless streaming by voting here: https://t.co/jA0OzJ0OO3 /LO",PLAYBACK_ISSUE,False,,,,
115,1189535,OK please proceed to delete the tweet,"@399609 2: says ""Send a private message"". We'll keep an eye out for your private message /RC https://t.co/ldFdZRiNAt",GENERAL_ENQUIRY,True,,,,
116,1167977,I can’t see the song playing also can’t skip it https://t.co/O8B12ZpdAC,"@311908 Hey Alan, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",PLAYBACK_ISSUE,False,,,,
